date,ticker,close
2026-04-23,490600,9255
2026-04-24,402970,14975
2026-04-24,441640,12945
2026-04-24,458730,14775
2026-04-24,490600,9370
2026-04-27,402970,14845
2026-04-27,441640,12885
2026-04-27,458730,14655
2026-04-27,490600,9315
2026-04-28,402970,14840
2026-04-28,441640,12835
2026-04-28,458730,14640
2026-04-28,490600,9300
2026-04-29,402970,14970
2026-04-29,441640,12890
2026-04-29,458730,14720
2026-04-29,490600,9400
2026-04-30,402970,15010
2026-04-30,441640,12830
2026-04-30,458730,14780
2026-04-30,490600,9425
2026-05-04,402970,15055
2026-05-04,441640,12880
2026-05-04,458730,14845
2026-05-04,490600,9410
2026-05-06,402970,14945
2026-05-06,441640,12865
2026-05-06,458730,14685
2026-05-06,490600,9320
2026-05-07,402970,14880
2026-05-07,441640,12850
2026-05-07,458730,14620
2026-05-07,490600,9295
2026-05-08,402970,14975
2026-05-08,441640,12940
2026-05-08,458730,14695
2026-05-08,490600,9355
2026-05-11,402970,15000
2026-05-11,441640,12930
2026-05-11,458730,14745
2026-05-11,490600,9365
2026-05-12,402970,15175
2026-05-12,441640,13015
2026-05-12,458730,14905
2026-05-12,490600,9445
2026-05-13,402970,15245
2026-05-13,441640,13160
2026-05-13,458730,14985
2026-05-13,490600,9495
2026-05-14,402970,15260
2026-05-14,441640,13060
2026-05-14,458730,15015
2026-05-14,490600,9335
2026-05-15,402970,15360
2026-05-15,441640,13135
2026-05-15,458730,15125
2026-05-15,490600,9395
2026-05-18,402970,15250
2026-05-18,441640,13040
2026-05-18,458730,15030
2026-05-18,490600,9335
2026-05-19,402970,15540
2026-05-19,441640,13185
2026-05-19,458730,15315
2026-05-19,490600,9465
2026-05-20,402970,15615
2026-05-20,441640,13180
2026-05-20,458730,15385
2026-05-20,490600,9530
2026-05-21,402970,15565
2026-05-21,441640,13245
2026-05-21,458730,15330
2026-05-21,490600,9535
2026-05-22,402970,15795
2026-05-22,441640,13425
2026-05-22,458730,15570
2026-05-22,490600,9615
2026-05-26,402970,16000
2026-05-26,441640,13450
2026-05-26,458730,15775
2026-05-26,490600,9765
2026-05-27,402970,15840
2026-05-27,441640,13365
2026-05-27,458730,15600
2026-05-27,490600,9655
2026-05-28,402970,15820
2026-05-28,441640,13370
2026-05-28,458730,15535
2026-05-28,490600,9650
2026-05-29,402970,15830
2026-05-29,441640,13395
2026-05-29,458730,15540
2026-05-29,490600,9660
2026-06-01,402970,15735
2026-06-01,441640,13470
2026-06-01,458730,15450
2026-06-01,490600,9570
2026-06-02,402970,15690
2026-06-02,441640,13500
2026-06-02,458730,15405
2026-06-02,490600,9545
2026-06-04,402970,15965
2026-06-04,441640,13585
2026-06-04,458730,15650
2026-06-04,490600,9730
2026-06-05,402970,16195
2026-06-05,441640,13835
2026-06-05,458730,15880
2026-06-05,490600,9865
2026-06-08,402970,15950
2026-06-08,441640,13600
2026-06-08,458730,15670
2026-06-08,490600,9760
2026-06-09,402970,15805
2026-06-09,441640,13430
2026-06-09,458730,15510
2026-06-09,490600,9655
2026-06-10,402970,15880
2026-06-10,441640,13450
2026-06-10,458730,15585
2026-06-10,490600,9760
2026-06-11,402970,15880
2026-06-11,441640,13415
2026-06-11,458730,15615
2026-06-11,490600,9780
2026-06-12,402970,15900
2026-06-12,441640,13395
2026-06-12,458730,15670
2026-06-12,490600,9670
2026-06-15,402970,16045
2026-06-15,441640,13545
2026-06-15,458730,15775
2026-06-15,490600,9715
2026-06-16,402970,15890
2026-06-16,441640,13535
2026-06-16,458730,15640
2026-06-16,490600,9650
2026-06-17,402970,15845
2026-06-17,441640,13520
2026-06-17,458730,15570
2026-06-17,490600,9610
2026-06-18,402970,15780
2026-06-18,441640,13545
2026-06-18,458730,15505
2026-06-18,490600,9560
2026-06-19,402970,15635
2026-06-19,441640,13455
2026-06-19,458730,15405
2026-06-19,490600,9575
2026-06-22,402970,15755
2026-06-22,441640,13485
2026-06-22,458730,15505
2026-06-22,490600,9615
2026-06-23,402970,15740
2026-06-23,441640,13415
2026-06-23,458730,15485
2026-06-23,490600,9635
2026-06-24,402970,15830
2026-06-24,441640,13535
2026-06-24,458730,15555
2026-06-24,490600,9640
2026-06-25,402970,15890
2026-06-25,441640,13585
2026-06-25,458730,15630
2026-06-25,490600,9705
2026-06-26,402970,15900
2026-06-26,441640,13380
2026-06-26,458730,15655
2026-06-26,490600,9690
2026-06-29,402970,16095
2026-06-29,441640,13520
2026-06-29,458730,15750
2026-06-29,490600,9800
2026-06-30,402970,16010
2026-06-30,441640,13600
2026-06-30,458730,15735
2026-06-30,490600,9765
2026-07-01,402970,15980
2026-07-01,441640,13665
2026-07-01,458730,15670
2026-07-01,490600,9740
2026-07-02,402970,16005
2026-07-02,441640,13700
2026-07-02,458730,15725
2026-07-02,490600,9785
2026-07-03,402970,16020
2026-07-03,441640,13750
2026-07-03,458730,15735
2026-07-03,490600,9840
2026-07-06,402970,16070
2026-07-06,441640,13735
2026-07-06,458730,15740
2026-07-06,490600,9850
2026-07-07,402970,16000
2026-07-07,441640,13675
2026-07-07,458730,15710
2026-07-07,490600,9705
2026-07-08,402970,15800
2026-07-08,441640,13400
2026-07-08,458730,15530
2026-07-08,490600,9675
2026-07-09,402970,15765
2026-07-09,441640,13425
2026-07-09,458730,15480
2026-07-09,490600,9615
2026-07-10,402970,15705
2026-07-10,441640,13410
2026-07-10,458730,15425
2026-07-10,490600,9600
2026-07-13,402970,15785
2026-07-13,441640,13480
2026-07-13,458730,15495
2026-07-13,490600,9640
2026-07-14,402970,15680
2026-07-14,441640,13325
2026-07-14,458730,15440
2026-07-14,490600,9500
2026-07-15,402970,15445
2026-07-15,441640,13220
2026-07-15,458730,15210
2026-07-15,490600,9370
2026-07-16,402970,15460
2026-07-16,441640,13200
2026-07-16,458730,15220
2026-07-16,490600,9340
2026-07-20,402970,15695
2026-07-20,441640,13070
2026-07-20,458730,15440
2026-07-20,490600,9500
2026-07-21,402970,15595
2026-07-21,441640,13060
2026-07-21,458730,15360
2026-07-21,490600,9395
2026-07-22,402970,15670
2026-07-22,441640,13120
2026-07-22,458730,15440
2026-07-22,490600,9445
2026-07-23,402970,15560
2026-07-23,441640,13070
2026-07-23,458730,15330
2026-07-23,490600,9400
2026-07-24,402970,15515
2026-07-24,441640,12950
2026-07-24,458730,15300
2026-07-24,490600,9370
2026-07-27,402970,15730
2026-07-27,441640,13075
2026-07-27,458730,15510
2026-07-27,490600,9465
2026-07-28,402970,15800
2026-07-28,441640,12945
2026-07-28,458730,15560
2026-07-28,490600,9490
2026-07-29,402970,15875
2026-07-29,441640,12930
2026-07-29,458730,15620
2026-07-29,490600,9565
2026-07-30,402970,15670
2026-07-30,441640,12690
2026-07-30,458730,15395
2026-07-30,490600,9480
2026-07-31,402970,15410
2026-07-31,441640,12825
2026-07-31,458730,15165
2026-07-31,490600,9385
