ticker,master_isin,ledger_isin,listing_date,listing_date_status,result
069500,KR7069500007,KR7069500007,2002-10-14,verified_official,synced
069660,KR7069660009,KR7069660009,2002-10-14,verified_official,synced
091160,KR7091160002,KR7091160002,2006-06-27,verified_official,synced
091170,KR7091170001,KR7091170001,2006-06-27,verified_official,synced
091180,KR7091180000,KR7091180000,2006-06-27,verified_official,synced
091220,KR7091220004,KR7091220004,2006-06-27,verified_official,synced
091230,KR7091230003,KR7091230003,2006-06-27,verified_official,synced
099140,KR7099140006,KR7099140006,2007-10-10,verified_official,synced
100910,KR7100910009,KR7100910009,2008-01-23,verified_official,synced
101280,KR7101280006,KR7101280006,2008-02-20,verified_official,synced
102110,KR7102110004,KR7102110004,2008-04-03,verified_official,synced
102780,KR7102780004,KR7102780004,2008-05-21,verified_official,synced
102960,KR7102960002,KR7102960002,2008-05-29,verified_official,synced
102970,KR7102970001,KR7102970001,2008-05-29,verified_official,synced
104520,KR7104520002,KR7104520002,2008-07-29,verified_official,synced
104530,KR7104530001,KR7104530001,2008-07-29,verified_official,synced
105010,KR7105010003,KR7105010003,2008-08-27,verified_official,synced
105190,KR7105190003,KR7105190003,2008-09-25,verified_official,synced
105780,KR7105780001,KR7105780001,2008-10-22,verified_official,synced
108450,KR7108450008,KR7108450008,2009-02-03,verified_official,synced
108590,KR7108590001,KR7108590001,2009-01-23,verified_official,synced
114100,KR7114100001,KR7114100001,2009-07-29,verified_official,synced
114260,KR7114260003,KR7114260003,2009-07-29,verified_official,synced
114460,KR7114460009,KR7114460009,2009-07-31,verified_official,synced
114470,KR7114470008,KR7114470008,2009-07-31,verified_official,synced
114800,KR7114800006,KR7114800006,2009-09-16,verified_official,synced
114820,KR7114820004,KR7114820004,2009-08-27,verified_official,synced
117460,KR7117460006,KR7117460006,2009-10-12,verified_official,synced
117680,KR7117680009,KR7117680009,2009-10-30,verified_official,synced
117690,KR7117690008,KR7117690008,2009-10-21,verified_official,synced
117700,KR7117700005,KR7117700005,2009-10-30,verified_official,synced
122090,KR7122090004,KR7122090004,2010-01-07,verified_official,synced
