normalized_index_family,alias,index_family,canonical_category,canonical_topic,source_type
KEDI-리츠부동산인프라TOP10채권혼합지수-PRICE-RETURN-389f0cc879,KEDI 리츠부동산인프라TOP10채권혼합지수 (Price Return),KEDI-리츠부동산인프라TOP10채권혼합지수-PRICE-RETURN-389f0cc879,혼합자산,자산배분,normalized_master
SOLACTIVE-CHINA-AI-BIG-TECH-TOP2-INDEX-PRICE-02e00d749f,Solactive China AI Big Tech TOP2+ Index (Price Return),SOLACTIVE-CHINA-AI-BIG-TECH-TOP2-INDEX-PRICE-02e00d749f,일반주식,지수기반,normalized_master
DEEPSEARCH-외인수급-TOP20-지수-aeb2190d04,DeepSearch 외인수급 Top20 지수,DEEPSEARCH-외인수급-TOP20-지수-aeb2190d04,일반주식,지수기반,normalized_master
NASDAQ-100-US-T-BILLS-1-3-MONTH-50-50-INDEX--eabf734c5a,Nasdaq-100 US T-Bills 1-3 Month 50/50 Index (USD),NASDAQ-100-US-T-BILLS-1-3-MONTH-50-50-INDEX--eabf734c5a,혼합자산,자산배분,normalized_master
SP500,Cboe S&P 500 Volatility Contingent Daily Covered Call Index(Total Retrun),SP500,대표지수,S&P500,normalized_master
코스피-200-금융-고배당-TOP-10-지수-3b15c0badb,코스피 200 금융 고배당 TOP 10 지수,코스피-200-금융-고배당-TOP-10-지수-3b15c0badb,배당·주주환원,고배당,normalized_master
AKROS-K방산소부장-지수-PR-fd1a418804,Akros K방산소부장 지수(PR),AKROS-K방산소부장-지수-PR-fd1a418804,일반주식,지수기반,normalized_master
KAP-미국-국채-10년-지수-총수익-93020448fc,KAP 미국 국채 10년 지수(총수익),KAP-미국-국채-10년-지수-총수익-93020448fc,채권,국채/중기/미확인등급,normalized_master
KIS-회사채-AA-이상-2706만기형지수-총수익-bde174d292,KIS 회사채(AA-이상)2706만기형지수(총수익),KIS-회사채-AA-이상-2706만기형지수-총수익-bde174d292,채권,회사채/만기매칭형/AA,normalized_master
ISELECT-코리아-원자력-지수-PRICE-RETURN-8481b8cdd6,iSelect 코리아 원자력 지수 (Price Return),ISELECT-코리아-원자력-지수-PRICE-RETURN-8481b8cdd6,일반주식,지수기반,normalized_master
FNGUIDE-한국원자력-SMR-지수-PR-902403f079,FnGuide 한국원자력 SMR 지수(PR),FNGUIDE-한국원자력-SMR-지수-PR-902403f079,일반주식,지수기반,normalized_master
KAP-27-12-크레딧-채권지수-AA-이상-총수익-45ab72ab02,"KAP 27-12 크레딧 채권지수(AA-이상, 총수익)",KAP-27-12-크레딧-채권지수-AA-이상-총수익-45ab72ab02,채권,회사채/만기매칭형/AA,normalized_master
FNGUIDE-AI반도체TOP10-지수-f5b042dc45,FnGuide AI반도체TOP10 지수,FNGUIDE-AI반도체TOP10-지수-f5b042dc45,테마,반도체,normalized_master
KEDI-엔비디아고정테크100-지수-PR-ac99933b67,KEDI 엔비디아고정테크100 지수(PR),KEDI-엔비디아고정테크100-지수-PR-ac99933b67,일반주식,지수기반,normalized_master
KEDI-팔란티어밸류체인지수-PR-8d54fc23bf,KEDI 팔란티어밸류체인지수(PR),KEDI-팔란티어밸류체인지수-PR-8d54fc23bf,일반주식,지수기반,normalized_master
KIS-회사채-2804만기형-지수-총수익-ab9ef2d96d,KIS 회사채 2804만기형 지수(총수익),KIS-회사채-2804만기형-지수-총수익-ab9ef2d96d,채권,회사채/만기매칭형/A,normalized_master
BLOOMBERG-CHINA-TECH-SELECT-TOP-10-12-TARGET-665a8bb907,Bloomberg China Tech Select TOP 10 + 12% Target Premium Weekly Index,BLOOMBERG-CHINA-TECH-SELECT-TOP-10-12-TARGET-665a8bb907,일반주식,지수기반,normalized_master
코리아-밸류업-위클리-커버드콜-30-지수-25662d408c,코리아 밸류업 위클리 커버드콜 30% 지수,코리아-밸류업-위클리-커버드콜-30-지수-25662d408c,일반주식,지수기반,normalized_master
SOLACTIVE-KEDI-XIAOMI-FOCUS-CHINA-TECH-INDEX-91f0f4ed02,Solactive-KEDI Xiaomi Focus China Tech Index,SOLACTIVE-KEDI-XIAOMI-FOCUS-CHINA-TECH-INDEX-91f0f4ed02,일반주식,지수기반,normalized_master
AKROS-미국AI테크TOP10-한국고배당3070-지수-2e6fd48691,Akros 미국AI테크TOP10&한국고배당3070 지수,AKROS-미국AI테크TOP10-한국고배당3070-지수-2e6fd48691,배당·주주환원,고배당,normalized_master
ISELECT-원자력SMR-지수-PRICE-RETURN-43b4edd4d2,iSelect 원자력SMR 지수(Price Return),ISELECT-원자력SMR-지수-PRICE-RETURN-43b4edd4d2,일반주식,지수기반,normalized_master
FNGUIDE-고배당주-플러스-자사주-지수-PR-de6e13835b,FnGuide 고배당주 플러스 자사주 지수 (PR),FNGUIDE-고배당주-플러스-자사주-지수-PR-de6e13835b,배당·주주환원,고배당,normalized_master
코스피-200-dbc8ccb693,코스피 200,코스피-200-dbc8ccb693,일반주식,지수기반,normalized_master
KIS-1-3년-우량크레딧-AA-이상-총수익지수-778324e6aa,KIS 1~3년 우량크레딧(AA-이상) 총수익지수,KIS-1-3년-우량크레딧-AA-이상-총수익지수-778324e6aa,채권,회사채/미확인만기/AA,normalized_master
ISELECT-방산-TOP10-지수-PRICE-RETURN-2f1d08beb6,iSelect 방산 TOP10 지수(Price Return),ISELECT-방산-TOP10-지수-PRICE-RETURN-2f1d08beb6,일반주식,지수기반,normalized_master
