ticker,standard_code,fund_name,fund_type,base_date,issuer
0104N0,K55301EN6416,미래에셋TIGER200타겟위클리커버드콜증권상장지수투자신탁(주식),주식형,20250919,미래에셋자산운용
0104P0,K55301EN6424,미래에셋TIGER코리아배당다우존스위클리커버드콜증권상장지수투자신탁(주식-파생형),주식파생형,20250919,미래에셋자산운용
0105D0,K55210EN5913,신한SOL한국AI소프트웨어증권상장지수투자신탁[주식],주식형,20250922,신한자산운용
0105E0,K55210EN5491,신한SOL코리아고배당증권상장지수투자신탁[주식],주식형,20250922,신한자산운용
0107F0,K55206EN6289,키움KIWOOM미국고배당&amp;AI테크증권상장지수투자신탁[주식],주식형,20250919,키움투자자산운용
0111J0,K55232EP4074,NH-AmundiHANARO증권고배당TOP3플러스증권상장지수투자신탁[주식],주식형,20251027,엔에이치아문디자산운용
0111P0,K55102EO1193,하나1Q미국나스닥100미국채혼합50액티브증권상장지수투자신탁[채권혼합],혼합채권형,20250926,하나자산운용
0112X0,K55216EP3761,DB마이티200TotalReturn증권상장지수투자신탁[주식],주식형,20251024,디비자산운용
0113D0,K553J1EP1634,타임폴리오TIME글로벌탑픽액티브증권상장지수투자신탁(주식-재간접형),재간접형,20251027,타임폴리오자산운용
0113G0,K553N9EP3964,삼성액티브KoAct미국바이오헬스케어액티브증권상장지수투자신탁[주식],주식형,20251107,삼성액티브자산운용
0113P0,K55224EO8480,흥국HK머니마켓액티브증권상장지수투자신탁[채권],채권형,20250929,흥국자산운용
0114X0,K55223EO3532,KBRISE글로벌게임테크TOP3Plus증권상장지수투자신탁(주식),주식형,20251017,케이비자산운용
0115C0,K55223EP0586,KBRISE미국고배당다우존스TOP10증권상장지수투자신탁(주식),주식형,20251017,케이비자산운용
0115D0,K55105EM8924,삼성KODEX조선TOP10증권상장지수투자신탁[주식],주식형,20251027,삼성자산운용
0115E0,K55105EN8626,삼성KODEX코리아소버린AI증권상장지수투자신탁[주식],주식형,20251020,삼성자산운용
0117L0,K55105EN8634,삼성KODEX26-12금융채(AA-이상)액티브증권상장지수투자신탁[채권],채권형,20251027,삼성자산운용
0117V0,K55301EO3131,미래에셋TIGER코리아AI전력기기TOP3플러스증권상장지수투자신탁(주식),주식형,20251020,미래에셋자산운용
0118S0,K55210EN6374,신한SOL미국넥스트테크TOP10액티브증권상장지수투자신탁[주식],주식형,20251024,신한자산운용
0118Z0,K55101EO4453,한국투자ACE미국AI테크핵심산업액티브증권상장지수투자신탁(주식),주식형,20251024,한국투자신탁운용
0119H0,K55105EN8642,삼성KODEX28-12회사채(AA-이상)액티브증권상장지수투자신탁[채권],채권형,20251103,삼성자산운용
0120J0,K55240EP9438,BNKBNK카카오그룹포커스증권상장지수투자신탁(주식),주식형,20251201,비엔케이자산운용
0122W0,K55223EP2954,KBRISE26-11회사채(AA-이상)액티브증권상장지수투자신탁(채권),채권형,20251117,케이비자산운용
0123G0,K55301EO8635,미래에셋TIGER미국AI전력SMR증권상장지수투자신탁(주식),주식형,20251031,미래에셋자산운용
0123S0,K55232EQ5039,NH-AmundiHANARO26-12은행채(AA+이상)액티브증권상장지수투자신탁[채권],채권형,20251215,엔에이치아문디자산운용
0127M0,K55101EP9626,한국투자ACE미국대형가치주액티브증권상장지수투자신탁(주식),주식형,20251107,한국투자신탁운용
0127P0,K55101EP9634,한국투자ACE미국대형성장주액티브증권상장지수투자신탁(주식),주식형,20251107,한국투자신탁운용
0127R0,K55223EP2913,KBRISE미국AI클라우드인프라증권상장지수투자신탁(주식),주식형,20251121,케이비자산운용
0127T0,K55206EN6347,키움KIWOOM미국S&amp;P500&amp;배당다우존스비중전환증권상장지수투자신탁[주식],주식형,20251107,키움투자자산운용
0128D0,K55213EP1719,한화PLUS차이나항셍테크위클리타겟커버드콜증권상장지수투자신탁(주식-파생형),주식파생형,20251114,한화자산운용
0131A0,K55210EP5036,신한SOL차이나소비트렌드증권상장지수투자신탁[주식],주식형,20251121,신한자산운용
0131V0,K55102EP3701,하나1Q미국우주항공테크증권상장지수투자신탁[주식],주식형,20251121,하나자산운용
0131W0,K55102EP6969,하나1Q단기특수은행채액티브증권상장지수투자신탁[채권],채권형,20251124,하나자산운용
0132D0,K553N9EP3691,삼성액티브KoAct글로벌K컬처밸류체인액티브증권상장지수투자신탁[주식],주식형,20251121,삼성액티브자산운용
0132H0,K55105EP4797,삼성KODEX미국원자력SMR증권상장지수투자신탁[주식],주식형,20251121,삼성자산운용
0132K0,K55213EP3905,한화PLUS테슬라위클리커버드콜채권혼합증권상장지수투자신탁(채권혼합-파생형),혼합채권파생형,20251205,한화자산운용
0133E0,K55301EP6877,미래에셋TIGER차이나증권증권상장지수투자신탁(주식),주식형,20260130,미래에셋자산운용
0135Y0,K55234EP3298,IBKIBK중기종합채권(AA-이상)액티브증권상장지수투자신탁[채권],채권형,20251215,아이비케이자산운용
0137V0,K55206EQ3044,키움KIWOOM미국S&amp;P500모멘텀증권상장지수투자신탁[주식],주식형,20251205,키움투자자산운용
0137W0,K55206EQ5684,키움KIWOOM미국S&amp;P500&amp;GOLD증권상장지수투자신탁[주식],주식형,20251205,키움투자자산운용
0138D0,K55223EO3508,KBRISE동학개미증권상장지수투자신탁(주식),주식형,20251215,케이비자산운용
0138T0,K55223EP9769,KBRISE미국S&amp;P500데일리고정커버드콜증권상장지수투자신탁(주식),주식형,20251219,케이비자산운용
0138Y0,K55213EQ4548,한화PLUS금채권혼합증권상장지수투자신탁(채권혼합-재간접형),재간접형,20251212,한화자산운용
0139P0,K55101EQ7660,한국투자ACE고배당주증권상장지수투자신탁(주식),주식형,20251215,한국투자신탁운용
